OWC,ID,eHRAF.Name,NAME,ea033,hier_beyond_com,intensity_agricult,class_strat,community_size,
SM03,180,NA,Aweikoma,1,1,1,1,1,
SM04,181,Guarani,Cayua,1,1,3,1,1,
SK15,182,NA,Lengua,1,1,2,1,3,
SI04,183,NA,Abipon,1,1,1,4,4,
SG04,184,NA,Mapuche,1,1,5,2,2,
SH05,185,NA,Tehuelche,1,1,1,1,2,
SH06,186,NA,Yahgan,1,1,1,1,1,
AD05,201,Taiwan Hokkien,Taiwan Hokkien,NA,NA,NA,NA,NA,
AR07,202,Khasi,Khasi,2,2,3,4,NA,
AX04,203,NA,Sinhalese,4,4,6,5,8,
EF06,204,Serbs,Serbs,4,4,5,5,8,
ES10,205,Highland Scots,Highland Scots,NA,NA,NA,NA,NA,
FA16,206,Dogon,Dogon,2,2,5,2,3,
MS14,207,Kanuri,Kanuri,4,4,5,4,NA,
MT09,208,NA,Libyan Bedouin,4,4,5,NA,NA,
MW11,209,NA,Shluh,2,2,6,1,NA,
NA12,210,Tlingit,Tlingit,1,1,1,4,4,
NF06,211,Blackfoot,Blackfoot,1,1,1,1,4,
NM09,212,Iroquois,Iroquois,3,3,3,1,4,
NT09,213,Hopi,Hopi,1,1,6,1,4,
NU33,214,Tarahumara,Tarahumara,1,1,5,2,NA,
NU44,215,NA,Zapotec,NA,NA,3,NA,7,
OQ06,217,Lau Fijians,Lau Fijians,3,3,4,2,2,
RV02,218,Yukut,Yakut,3,3,2,2,2,
SC07,219,Kogi,Kogi,1,1,3,2,NA,
SH04,220,Ona,Ona,1,1,1,1,2,
SI07,221,Mataco,Mataco,1,1,2,1,2,
SO11,222,Bahia Brazilia,Bahia Brazilians,5,5,5,5,8,
SP08,223,Bororo,Bororo,2,2,1,1,NA,
NT13,NA,Navajo,NA,1,1,6,1,4,
OD09,NA,Mentawaians,NA,1,1,4,1,NA,
SA12,NA,Garifuna,NA,1,1,4,1,6,
,NA,Maya (Yucatec),NA,2,2,3,5,NA,Maya of the Yucatan Peninsula
OU09,NA,Tongans,NA,3,3,4,4,NA,
MA01,NA,Iran,NA,5,5,6,3,8,
NV09,NA,Tzeltal,Tzeltal,NA,NA,NA,NA,NA,
AE09,NA,Mongor ( Monguor),NA,NA,NA,NA,NA,NA,CRE
AU04,NA,Pashtun,NA,NA,NA,NA,NA,NA,
EF04,NA,Croats,NA,NA,NA,NA,NA,NA,
EF09,NA,Bosnian Muslim,NA,NA,NA,NA,NA,NA,
FK11,NA,Banyoro,NA,NA,NA,NA,NA,NA,
M013,NA,Palestinians,NA,NA,NA,NA,NA,NA,
NN16,NA,Seminole,NA,1,1,NA,NA,NA,
