SCCS_ID,socname,KT_3,KT_4,KT_5,KT_3_Tr,KT_4_Tr,KT_5_Tr,BT,Unilineal,Unilineal_Type,code_68,code_label_68,code_80,code_label_80,,,,,,,,,,,
46,Rwala Bedouin,6,5,6,6,5,6,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
47,Turks,5,5,4,5,5,4,,1,3,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
51,Irish,2,2,2,3,3,3,2,,,5,"S Stem family, monogamy",3,Stem Family,,,,,,,,,,,
52,Lapps,2,2,2,3,3,3,2,,,1,"Monogamous, no polygyny",1,Nuclear Monogamous,,,,,,,,,,,
53,Yurak Samoyed,,,,,,,,1,8,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
54,Russians,1,1,1,3,3,3,1,,,1,"Monogamous, no polygyny",1,Nuclear Monogamous,,,,,,,,,,,
55,Abkhaz,3,3,3,3,3,3,3,,,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
57,Kurd,,,,,,,,1,3,6,"Stem family, < 20 % polygyny",3,Stem Family,,,,,,,,,,,
58,Basseri,,,,,,,,1,3,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
59,Punjabi (West),5,5,4,5,5,4,,1,3,7,"Small extended, monogamy",4,Small extended,,,,,,,,,,,
60,Gond,5,5,5,5,5,5,,1,3,9,>20% polygyny,4,Small extended,,,,,,,,,,,
62,Santal,4,5,5,4,5,5,,1,3,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
63,Uttar Pradesh,,,,,,,,1,3,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
64,Burusho,,,,,,,,1,8,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
65,Kazak,6,6,5,6,6,5,,1,3,9,>20% polygyny,4,Small extended,,,,,,,,,,,
66,Khalka Mongols,6,6,6,6,6,6,,1,3,5,"S Stem family, monogamy",3,Stem Family,,,,,,,,,,,
68,Lepcha,4,4,4,4,4,4,,1,3,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
70,Lakher,5,4,4,5,4,4,,1,3,1,"Monogamous, no polygyny",1,Nuclear Monogamous,,,,,,,,,,,
71,Burmese,1,1,1,3,3,3,1,,,1,"Monogamous, no polygyny",1,Nuclear Monogamous,,,,,,,,,,,
72,Lamet,4,4,4,4,4,4,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
73,Vietnamese,3,3,3,3,3,3,3,,,6,"Stem family, < 20 % polygyny",3,Stem Family,,,,,,,,,,,
76,Siamese,,,,,,,,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
8,Nyakyusa,4,4,4,4,4,4,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
83,Javanese,1,1,1,3,3,3,1,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
84,Balinese,,,,,,,,1,3,7,"Small extended, monogamy",4,Small extended,,,,,,,,,,,
85,Iban,1,1,1,3,3,3,1,,,5,"S Stem family, monogamy",3,Stem Family,,,,,,,,,,,
86,Badjau,1,1,1,3,3,3,1,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
9,Hadza,1,1,1,3,3,3,1,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
90,Tiwi,2,2,2,3,3,3,2,,,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
91,Aranda,3,3,3,3,3,3,3,,,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
92,Orokaiva,,,,,,,,1,3,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
93,Kimam,2,2,2,3,3,3,2,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
94,Kapauku,7,7,7,7,7,7,,1,3,9,>20% polygyny,4,Small extended,,,,,,,,,,,
96,Manus,2,2,2,3,3,3,2,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
98,Trobrianders,5,5,5,5,5,5,,1,1,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
99,Siuai,6,6,7,6,6,7,,1,1,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
