"ID","OWC","DQ","allhazards_H9a_sev_exposure_30","disaster_h9a_sev_exposure_30","allhazards_H9a_sev_exposure_30_IA","disaster_h9a_sev_exposure_30_IA","normative_est_count_30","normative_est_count_30_IA","allhazards_est_count_30_IA","eHRAF.Name","ea033","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1_Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5_Resolved","S6_Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS3d_outside_Res","LS4d_outside_Res","LS5d_outside_Res","LS2e_nonkin_Res","LS3e_nonkin_Res","LS4e_nonkin_Res","LS5e_nonkin_Res","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","sevnonfd_freq_30","fd_hazards_freq_PC","disaster_nonfd_sev_exposure_30","disaster_nonfd_sev_exposure_30_IA"
52,"EP04",3,3.25,3,3.25,3,NA,NA,31,NA,1,1,1,0,1,0,1,2,1,1,1,0,2,1,1,0,1,NA,1,1,NA,NA,NA,1,1,0,NA,0,NA,0,NA,0,NA,7,3,3,NA,NA,4,3,3,NA,14.5,14.5
53,"RU41",1,18,12,18,12,24,24,45,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,7,1,3,1,1,7,1,NA,0.420676958313105,5,5
54,"RF10",2,0.25,0,0.25,0,20,20,24,NA,5,1,1,0,1,0,1,2,1,0,NA,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1,NA,7,3,1,1,1,1,7,3,-1.08731014306093,2,2
55,"RI03",4,1,1,1,1,NA,NA,1,NA,2,1,0,1,1,0,1,2,1,NA,NA,1,NA,1,1,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,0,1,NA,NA,1,1,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA
58,"MA10",2,3.25,3,3.25,3,NA,0,4,NA,2,1,1,1,0,0,2,2,1,0,0,1,0,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,0,0,NA,NA,0,NA,NA,NA,7,1,4,3,1,4,7,NA,0.224926341680277,3,3
59,"AT03",1,5.25,5.25,5.25,5.25,NA,0,6,NA,5,1,0,1,1,1,1,2,1,0,1,1,1,1,1,NA,0,0,0,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,5,3,5,1,1,1,5,3,-0.18187853435696,7,7
60,"AW32",3,2,2,2,2,20,20,21,NA,NA,1,1,0,0,1,1,1,1,0,1,0,1,1,1,NA,0,NA,1,1,NA,1,NA,1,1,0,NA,NA,0,NA,NA,NA,1,7,NA,3,3,3,7,NA,NA,0.959753178658848,NA,NA
62,"AW42",2,8,8,8,8,NA,0,4,"Santal",2,1,NA,NA,NA,1,NA,NA,1,0,0,1,0,1,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,1,5,1,5,5,5,1,1,NA,0.896273906334527,NA,0
63,"AW19",3,8,8,8,8,NA,NA,4,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,5,NA,5,5,5,NA,NA,NA,NA,NA,NA
64,"AV07",2,20,20,20,20,NA,0,21,NA,2,1,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,1,NA,0,1,7,1,7,1,1,1,1,NA,0.270837269995024,NA,0
